baseline_name,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
lstm_baseline,14,2056,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,15,2057,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,16,2058,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,17,2059,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,18,2060,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,4.0,4.0,1.0
lstm_baseline,19,2061,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
dual_trigger_qtk,0,2042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,1,2043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,2,2044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
dual_trigger_qtk,3,2045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,4,2046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
dual_trigger_qtk,5,2047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
dual_trigger_qtk,6,2048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,7,2049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
dual_trigger_qtk,8,2050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,9,2051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
dual_trigger_qtk,10,2052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
dual_trigger_qtk,11,2053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
dual_trigger_qtk,12,2054,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,2.0,2.0,0.5
dual_trigger_qtk,13,2055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,14,2056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
dual_trigger_qtk,15,2057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
dual_trigger_qtk,16,2058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
dual_trigger_qtk,17,2059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
dual_trigger_qtk,18,2060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,6.0,6.0,0.0
dual_trigger_qtk,19,2061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
