Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,MIMIC,rogue_laptop,Idle,0.1582,0.8418,0.98,0.2047,0.1745,False,trust-compliant,False,,-1
11,MIMIC,rogue_laptop,Idle,0.0004,0.9996,0.9895,1.0,0.8994,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.075,0.925,0.98,0.0425,0.062,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.0753,0.9247,0.98,0.0226,0.0542,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,MIMIC,rogue_laptop,Normal,0.2481,0.7519,1.0,0.1953,0.2296,False,trust-compliant,False,,-1
11,MIMIC,rogue_laptop,Idle,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.1343,0.8657,0.98,0.034,0.0941,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.1225,0.8775,0.98,0.0146,0.0794,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.6113,1.0,0.9648,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5152,1.0,0.9614,False,trust-compliant,False,,-1
