Epoch,DeviceID,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,Configuration
1,silent_forgotten_tablet,0.0378,0.9622,0.995,0.0251,0.0327,False,Device is trust-compliant.,False,,hmm_only
2,user_0_phone,0.0021,0.9979,0.9861,0.018,0.0021,False,Device is trust-compliant.,False,,hmm_only
2,user_0_laptop_1,0.0,1.0,0.9723,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
2,silent_forgotten_tablet,0.0295,0.9705,0.9902,0.0378,0.0328,False,Device is trust-compliant.,False,,hmm_only
3,user_0_phone,0.0,1.0,0.9905,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,user_0_laptop_1,0.0,1.0,0.9675,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,silent_forgotten_tablet,0.0752,0.9248,0.9857,0.0105,0.0493,False,Device is trust-compliant.,False,,hmm_only
4,user_0_phone,0.0,1.0,0.9935,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,user_0_laptop_1,0.0,1.0,0.9646,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,silent_forgotten_tablet,0.0459,0.9541,0.9815,0.0345,0.0414,False,Device is trust-compliant.,False,,hmm_only
5,user_0_phone,0.0,1.0,0.9956,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,user_0_laptop_1,0.0,1.0,0.9782,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,silent_forgotten_tablet,0.0627,0.9373,0.9774,0.0397,0.0535,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5,hmm_only
6,user_0_phone,0.0,1.0,0.929,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
6,user_0_laptop_1,0.0,1.0,0.9712,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_phone,0.0,1.0,0.9517,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_laptop_1,0.0,1.0,0.9669,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
8,user_0_phone,0.0,1.0,0.9502,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
