Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
32,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9953,0.018,0.5599,False,Device is trust-compliant.,False,,3
33,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9972,0.018,0.5594,False,Device is trust-compliant.,False,,3
34,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9983,0.018,0.5591,False,Device is trust-compliant.,False,,3
35,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.999,0.018,0.559,False,Device is trust-compliant.,False,,3
36,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9994,0.018,0.5589,False,Device is trust-compliant.,False,,3
37,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9996,0.018,0.5588,False,Device is trust-compliant.,False,,3
38,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9844,0.018,0.5626,False,Device is trust-compliant.,False,,3
39,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9904,0.018,0.5611,False,Device is trust-compliant.,False,,3
40,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9787,0.018,0.564,False,Device is trust-compliant.,False,,3
1,legacy_mimicry,user_0_phone,Normal,0.067,0.933,1.0,0.0205,0.0484,False,trust-compliant,False,,-1
1,legacy_mimicry,user_0_laptop_1,Idle,0.1367,0.8633,0.98,0.0552,0.1041,False,trust-compliant,False,,-1
2,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9826,0.018,0.563,False,trust-compliant,False,,-1
2,legacy_mimicry,user_0_laptop_1,Idle,0.0,1.0,0.9723,0.018,0.5655,False,trust-compliant,False,,-1
3,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9705,0.018,0.566,False,trust-compliant,False,,-1
3,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9675,0.018,0.5667,False,trust-compliant,False,,-1
4,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9621,0.018,0.5681,False,trust-compliant,False,,-1
4,legacy_mimicry,user_0_laptop_1,Idle,0.0,1.0,0.9646,0.018,0.5674,False,trust-compliant,False,,-1
5,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9736,0.018,0.5652,False,trust-compliant,False,,-1
5,legacy_mimicry,user_0_laptop_1,Idle,0.0,1.0,0.9782,0.018,0.5641,False,trust-compliant,False,,-1
6,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9642,0.018,0.5675,False,trust-compliant,False,,-1
6,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9712,0.018,0.5658,False,trust-compliant,False,,-1
7,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9577,0.018,0.5691,False,trust-compliant,False,,-1
7,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9669,0.018,0.5669,False,trust-compliant,False,,-1
8,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9532,0.018,0.5702,False,trust-compliant,False,,-1
8,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.918,0.018,0.5788,False,trust-compliant,False,,-1
9,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.95,0.018,0.571,False,trust-compliant,False,,-1
9,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9495,0.018,0.5711,False,trust-compliant,False,,-1
10,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9478,0.018,0.5716,False,trust-compliant,False,,-1
10,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9689,0.018,0.5664,False,trust-compliant,False,,-1
10,legacy_mimicry,rogue_laptop,Normal,0.0,1.0,1.0,0.0,0.0,False,trust-compliant,False,,-1
11,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9463,0.9998,0.9049,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,-1
11,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9808,0.018,0.5635,False,Device is trust-compliant.,False,,-1
11,legacy_mimicry,rogue_laptop,Normal,0.0,1.0,1.0,0.9943,0.8992,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
12,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9885,0.018,0.5616,False,Device is trust-compliant.,False,,1
13,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9929,0.018,0.5605,False,Device is trust-compliant.,False,,1
14,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9802,0.018,0.5636,False,Device is trust-compliant.,False,,1
15,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9881,0.018,0.5617,False,Device is trust-compliant.,False,,1
16,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9929,0.018,0.5605,False,Device is trust-compliant.,False,,1
17,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9957,0.018,0.5598,False,Device is trust-compliant.,False,,1
18,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9974,0.018,0.5594,False,Device is trust-compliant.,False,,1
19,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9984,0.018,0.5591,False,Device is trust-compliant.,False,,1
20,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.999,0.018,0.559,False,Device is trust-compliant.,False,,1
21,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.984,0.018,0.5627,False,Device is trust-compliant.,False,,1
22,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9901,0.018,0.5612,False,Device is trust-compliant.,False,,1
23,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9785,0.018,0.564,False,Device is trust-compliant.,False,,1
24,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9714,0.018,0.5658,False,Device is trust-compliant.,False,,1
25,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9824,0.018,0.5631,False,Device is trust-compliant.,False,,1
26,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9738,0.018,0.5652,False,Device is trust-compliant.,False,,1
27,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9839,0.018,0.5627,False,Device is trust-compliant.,False,,1
28,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9747,0.018,0.565,False,Device is trust-compliant.,False,,1
29,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9844,0.018,0.5626,False,Device is trust-compliant.,False,,1
30,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.975,0.018,0.5649,False,Device is trust-compliant.,False,,1
31,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9692,0.018,0.5663,False,Device is trust-compliant.,False,,1
32,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9656,0.018,0.5672,False,Device is trust-compliant.,False,,1
33,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9634,0.018,0.5677,False,Device is trust-compliant.,False,,1
34,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9775,0.018,0.5643,False,Device is trust-compliant.,False,,1
35,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9861,0.018,0.5622,False,Device is trust-compliant.,False,,1
36,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.976,0.018,0.5646,False,Device is trust-compliant.,False,,1
37,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9852,0.018,0.5624,False,Device is trust-compliant.,False,,1
38,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9909,0.018,0.561,False,Device is trust-compliant.,False,,1
39,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9944,0.018,0.5601,False,Device is trust-compliant.,False,,1
40,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9966,0.018,0.5596,False,Device is trust-compliant.,False,,1
1,legacy_mimicry,user_0_phone,Idle,0.1252,0.8748,0.98,0.0395,0.0909,False,trust-compliant,False,,-1
1,legacy_mimicry,user_0_laptop_1,Idle,0.0841,0.9159,0.98,0.0649,0.0764,False,trust-compliant,False,,-1
2,legacy_mimicry,user_0_phone,Idle,0.0,1.0,0.9687,0.018,0.5664,False,trust-compliant,False,,-1
2,legacy_mimicry,user_0_laptop_1,Idle,0.0,1.0,0.9723,0.018,0.5655,False,trust-compliant,False,,-1
3,legacy_mimicry,user_0_phone,Idle,0.0,1.0,0.9608,0.018,0.5684,False,trust-compliant,False,,-1
3,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9675,0.018,0.5667,False,trust-compliant,False,,-1
4,legacy_mimicry,user_0_phone,Normal,0.0,1.0,0.9553,0.018,0.5697,False,trust-compliant,False,,-1
4,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9646,0.018,0.5674,False,trust-compliant,False,,-1
5,legacy_mimicry,user_0_phone,Idle,0.0,1.0,0.9515,0.018,0.5706,False,trust-compliant,False,,-1
